#,id,name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,
32,2dfHh7ECGxfNqZTQno09Vk,Hearts Don't Break Around Here,Ed Sheeran,77,0.604,0.366,7,-7.881,1,0.0267,0.719,0,0.162,0.181,105.177,248413,3,
33,1Fj5Hfda761tgxKbJUlFxN,The City - Live At Sticky Studios,Ed Sheeran,48,0.712,0.569,4,-6.032,0,0.204,0.507,0,0.412,0.837,105.032,306320,4,
34,2uCWnDjkKeLJq5X2Otkj5f,Beautiful,Enrique Iglesias;Kylie Minogue,14,0.177,0.52,9,-4.896,1,0.0342,0.714,0,0.17,0.0421,182.002,205347,4,
35,2Q5rgdW9RQxJTd4qwPH4VU,Bag,French Montana;Ziico Niico,48,0.771,0.486,1,-9.515,1,0.159,0.0017,0.00901,0.18,0.0986,94.997,217051,4,
36,5C8O7kz7g1wHILy0WwFj7f,Flip,Future,52,0.755,0.317,9,-11.071,1,0.487,0.126,0,0.128,0.588,145.978,254187,4,
37,4HoqlL7E3nmDXM84IT9AwH,Hell Nos And Headphones,Hailee Steinfeld,65,0.702,0.558,10,-6.85,1,0.0764,0.017,0,0.0972,0.469,102.971,230933,4,
38,3wSmGCsH0ue83exhgmbmPi,Good Mourning,Halsey,52,0.619,0.54,10,-9.994,0,0.0595,0.697,1.04E-02,0.404,0.725,100.011,67580,4,
39,5Lbsc65org0b85kNsPkluY,Only Angel,Harry Styles,70,0.554,0.842,5,-4.113,1,0.0397,0.287,0,0.106,0.348,114.036,291080,4,
40,2y5mWCbtXze9zaQi0M0Xv5,Dancing In The Dark,Imagine Dragons,66,0.683,0.319,9,-10.4,1,0.211,0.806,0.000313,0.0955,0.589,133.983,233933,4,
41,3DBMmyOLQ8VIEd5fBnTSfK,Mouth Of The River,Imagine Dragons,68,0.487,0.905,8,-6.951,1,0.0423,0.00217,0.0936,0.151,0.293,96.012,221560,4,
42,1jm1lbs2m9BBJk7oTQGGG4,Solitario,J Balvin,42,0.791,0.812,1,-4.556,1,0.063,0.0753,0.0065,0.102,0.7,99.986,207720,4,
43,69CDsup7hfmoiCjMt9lFNq,Skeletons,James Arthur,52,0.59,0.877,2,-4.299,0,0.0694,0.0805,2.65E-05,0.341,0.527,160.027,237680,4,
44,0x5QNHf6hEB4ZARhidUezQ,Love Like That (feat. K. Michelle),Jason Derulo;K. Michelle,16,0.448,0.537,0,-5.581,0,0.056,0.00647,7.05E-05,0.626,0.115,173.334,239760,4,
45,4Kln4sYiZzemzfdbLXW00G,House Work,Jax Jones;Mike Dunn;MNEK,66,0.766,0.948,0,-5.351,0,0.0634,0.205,0.144,0.0481,0.676,123.967,157208,4,
46,0BzcQZtcYAcJ2YvRLCt129,Trouble,Jonas Blue; OFFAIAH,28,0.6,0.972,1,-3.631,0,0.0438,0.0104,0.0574,0.288,0.968,124.022,174024,4,
47,1twTatZXHgJwZEhKl41uBj,Pink,Julia Michaels,51,0.928,0.672,9,-7.241,1,0.165,0.0679,0.00111,0.0988,0.595,121.982,168107,4,
48,2VGVSJGXHzKsu5btkdFbpK,Catching Feelings,Justin Bieber,46,0.385,0.553,10,-6.716,1,0.0457,0.356,0,0.444,0.345,86.676,234680,4,
49,7wq44Td3o4RgPx4NimqJIg,Into Me You See,Katy Perry,52,0.414,0.255,5,-9.937,1,0.0356,0.82,0,0.0861,0.185,112.102,264396,4,
50,3ZFwFe104aquLWAwagKgtg,BLOOD.,Kendrick Lamar,62,0.513,0.237,8,-16.683,0,0.24,0.133,0.0938,0.521,0.447,78.563,118067,3,
51,3SP0MlWYfu7xt1ZfMqBxh9,FEAR.,Kendrick Lamar,64,0.586,0.474,10,-7.063,0,0.274,0.616,1.04E-05,0.613,0.455,149.967,460573,4,
52,3JTtZUOiZljuWbNiasfHB6,Hopeless,Khalid,72,0.785,0.702,7,-4.517,1,0.0464,0.643,0,0.175,0.569,116.021,167640,4,
53,25YvGDl2zSE0pH8jrMZ6aY,Therapy,Khalid,74,0.707,0.484,9,-6.579,0,0.0481,0.891,0.00344,0.256,0.43,92.988,257960,4,
54,7ylOCfpjsuxM6w7W7b3W91,I See You,Kygo,64,0.68,0.513,4,-9.914,0,0.0365,0.483,7.05E-05,0.0975,0.272,106.953,228707,4,
55,1LEwgyFi3R9Ihdz72bSiAj,Deepest Part of Me (Interlude),KYLE,45,0.731,0.462,0,-10.131,1,0.0354,0.0406,0.281,0.151,0.127,105.037,156252,4,
56,1qwWYnZmgC6TtGMvO35hWg,Breathe,Lauv,71,0.32,0.393,4,-8.08,1,0.039,0.728,0,0.341,0.193,136.746,237810,4,
57,7mwNwejc4TH61bdxJHOngN,Bedroom Floor,Liam Payne,21,0.698,0.68,1,-7.117,1,0.0649,0.277,0.00015,0.111,0.215,120.025,187893,4,
58,2O1qYJTA2BI5ypFFqEZhh4,Early 20 Rager,Lil Uzi Vert,60,0.651,0.68,8,-6.057,0,0.0647,0.0209,0,0.381,0.092,127.001,274880,4,
59,1ndE0rSXw5nlCyJ4eletzq,Waiting Room,Logic,48,0.698,0.229,6,-17.818,1,0.87,0.746,0,0.158,0.624,136.439,283267,3,
