id,name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popular,,,,,,,,
6Bjtr3tPdto5nyuLYf61sN ,Cold Water (feat. Justin Bieber & MÃ˜),Major Lazer,78,0.608,0.798,6,-5.092,0,0.0432,0.0736,0,0.156,0.501,92.943,185352,4,1,,,,,,,,
5CtI0qwDJkDQGwXD1H1cLb ,Despacito - Remix,Luis Fonsi,84,0.694,0.815,2,-4.328,1,0.12,0.229,0,0.0924,0.813,88.931,228827,4,1,,,,,,,,
1KSqYYJFyfTecXFk9M0prc ,EscÃ¡pate Conmigo,Wisin,86,0.747,0.864,8,-3.181,0,0.0599,0.0245,4.46E-05,0.0853,0.754,92.028,232787,4,1,,,,,,,,
1j4kHkkpqZRBwE0A4CN4Yv ,Dusk Till Dawn - Radio Edit,ZAYN,90,0.258,0.437,11,-8.374,0,0.039,0.101,1.27E-06,0.106,0.0967,117.973,239000,4,1,,,,,,,,
3BuLtAmXKy5uQYl4ED1zBT ,Weak,AJR,75,0.673,0.637,5,-4.518,1,0.0429,0.137,0,0.184,0.678,123.98,201160,4,1,,,,,,,,
4RgoqOBE34Q6zZj8K7RUAx,Go,Travis Scott;Quavo; Huncho Jack,65,0.749,0.887,5,-0.898,0,0.0436,0.301,3.04E-05,0.297,0.638,135.006,156530,4,0,,,,,,,,
3G94lNH9BlS5a2WpfwJ1E6,Make up Your Mind,Martin Garrix;Florian Picasso,55,0.688,0.887,7,-3.68,1,0.158,0.000816,7.78E-01,0.276,0.0399,126.029,196295,4,0,,,,,,,,
5aAx2yezTd8zXrkmtKl66Z ,Starboy,The Weeknd,82,0.681,0.594,7,-7.028,1,0.282,0.165,3.49E-06,0.134,0.535,186.054,230453,4,1,,,,,,,,
6xyJHp3nAJGOc2Xy7ACsg1,New Eyes (feat. Lizzo),Clean Bandit;Lizzo,31,0.687,0.613,9,-8.105,1,0.0622,0.0687,0.00E+00,0.177,0.601,140.074,226442,4,0,,,,,,,,
5uCax9HTNlzGybIStD3vDh ,Say You Won't Let Go,James Arthur,86,0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,211467,4,1,,,,,,,,
4nrtux8xl5lYegU8II5rAQ,Single For The Summer,Sam Hunt,59,0.553,0.856,8,-6.316,0,0.0465,0.00106,0.00E+00,0.27,0.475,155.877,310307,4,0,,,,,,,,
51lsOIdizBjiI8z2YKjrA2 ,Call On Me - Ryan Riback Extended Remix,Starley,58,0.676,0.843,0,-4.068,1,0.0367,0.0623,0.000752,0.181,0.718,105.003,222041,4,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
